counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,break_done_touch.clicked_name,End.started,End.stopped
list3,,5.882,5.883,32144,001,2025-10-22_03h18.23.919,HW_LDT_1,2024.2.4,MacIntel,47.61904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32144,001,2025-10-22_03h18.23.919,HW_LDT_1,2024.2.4,MacIntel,47.61904762,5.911,6.966,,0.086956522,-0.425666199,1,0,0,,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). The items will be presented for a short time. 
Press the space bar or touch  continue.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32144,001,2025-10-22_03h18.23.919,HW_LDT_1,2024.2.4,MacIntel,47.61904762,6.968,14.916,,0.127629734,-0.386395512,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32144,001,2025-10-22_03h18.23.919,HW_LDT_1,2024.2.4,MacIntel,47.61904762,14.918,18.264,,0.12342216,-0.401823282,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32144,001,2025-10-22_03h18.23.919,HW_LDT_1,2024.2.4,MacIntel,47.61904762,18.266,25.098,,-0.119214586,-0.387798036,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32144,001,2025-10-22_03h18.23.919,HW_LDT_1,2024.2.4,MacIntel,47.61904762,,,,,,,,,,,,,,,,,,,,25.118,25.302,25.303,25.802,25.803,27.732,,0,[0.48807854137447404],[-0.2769985974754558],[1],[0],[0],[1.9239999999999995],"[""button_right""]",1.924,1,27.733,28.235,0,0,0,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32144,001,2025-10-22_03h18.23.919,HW_LDT_1,2024.2.4,MacIntel,47.61904762,,,,,,,,,,,,,,,,,,,,28.237,28.435,28.435,28.934,28.936,30.031,,0,[0.46563814866760167],[-0.3008415147265077],[1],[0],[0],[1.0920000000000059],"[""button_right""]",1.092,1,30.031,30.535,0,1,1,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32144,001,2025-10-22_03h18.23.919,HW_LDT_1,2024.2.4,MacIntel,47.61904762,,,,,,,,,,,,,,,,,,,,30.536,30.734,30.735,31.235,31.236,32.481,,0,[0.46563814866760167],[-0.30925666199158486],[1],[0],[0],[1.242999999999995],"[""button_right""]",1.243,1,32.481,32.984,0,2,2,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32144,001,2025-10-22_03h18.23.919,HW_LDT_1,2024.2.4,MacIntel,47.61904762,,,,,,,,,,,,,,,,,,,,32.986,33.185,33.185,33.684,33.685,34.792,,0,[-0.4586255259467041],[-0.3330995792426367],[1],[0],[0],[1.1039999999999992],"[""button_left""]",1.104,1,34.792,35.284,0,3,3,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32144,001,2025-10-22_03h18.23.919,HW_LDT_1,2024.2.4,MacIntel,47.61904762,,,,,,,,,,,,,,,,,,,,35.286,35.484,35.484,35.984,35.985,37.081,,0,[-0.41935483870967744],[-0.3120617110799439],[1],[0],[0],[1.0929999999999964],"[""button_left""]",1.093,1,37.081,37.584,0,4,4,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
