counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,response.duration,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list4_trials.thisRepN,list4_trials.thisTrialN,list4_trials.thisN,list4_trials.thisIndex,list4_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,50.0498,50.2482,50.2483,50.7483,50.7492,51.9148,z,1,[],[],[],[],[],[],[],1.1554,1,51.9149,52.4151,0,14,14,15,1,1016,NW,UN,16,mushed,WHAISE,z,1.1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,52.4166,52.6138,52.6138,53.1149,53.1158,53.9648,m,1,[],[],[],[],[],[],[],0.8412,1,53.965,54.4641,0,15,15,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,0.8412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. On some trials you will be asked to report whether the item you just saw was in cursive or print. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4709,55.4645,space,0.9667,,0.30535411,-0.263862942,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,55.4826,55.6648,55.665,56.1649,,,,,,,,,,,,2.4336,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,,1,0,56.1663,58.6153,m,0,2.4336,,[],[],[],[],[],[],[],58.6156,60.6139,60.6143,60.6172,[],[],[],[],[],[],[],,60.6173,60.619,0.30535411,-0.263862942,0,0,0,,0,0,0,37,1,4,RL,renutal,cursive,renutal_c.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,60.62,60.8148,60.8148,61.3145,,,,,,,,,,,,1.8753,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,,2,0,61.3149,63.1982,m,0,1.8753,,[],[],[],[],[],[],[],63.1983,65.1983,65.1983,65.1986,[],[],[],[],[],[],[],,65.1987,65.1989,0.30535411,-0.263862942,0,0,0,,0,1,1,76,1,4,TL,setanor,print,setanor_p.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,65.2003,65.3981,65.3981,65.8972,,,,,,,,,,,,3.3502,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,,3,0,65.8975,69.2485,z,1,3.3502,,[],[],[],[],[],[],[],69.2485,71.248,71.2481,71.2483,[],[],[],[],[],[],[],,71.2484,71.2485,0.30535411,-0.263862942,0,0,0,,0,2,2,63,1,4,TL,miskate,print,miskate_p.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,71.2497,71.4481,71.4481,71.9481,,,,,,,,,,,,1.119,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,,4,0,71.9487,73.0805,z,1,1.119,,[],[],[],[],[],[],[],73.0807,75.0813,75.0813,75.0814,[],[],[],[],[],[],[],,75.0815,75.0815,0.30535411,-0.263862942,0,0,0,,0,3,3,27,1,4,RL,menowy,print,menowy_p.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,75.0823,75.2814,75.2814,75.7814,,,,,,,,,,,,1.9644,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,,5,0,75.7822,77.748,z,1,1.9644,,[],[],[],[],[],[],[],77.7482,79.7474,79.7475,79.7478,[],[],[],[],[],[],[],,79.7479,79.7481,0.30535411,-0.263862942,0,0,0,,0,4,4,67,1,4,TL,polupar,print,polupar_p.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,79.7493,79.9482,79.9483,80.4481,,,,,,,,,,,,1.4025,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,,6,0,80.4487,81.8647,z,1,1.4025,,[],[],[],[],[],[],[],81.8648,83.8647,83.8648,83.8653,[],[],[],[],[],[],[],,83.8654,83.8655,0.30535411,-0.263862942,0,0,0,,0,5,5,8,1,4,RL,casagity,cursive,casagity_c.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,83.8667,84.0647,84.0647,84.5647,,,,,,,,,,,,0.8368,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,,7,0,84.5654,85.4147,z,1,0.8368,,[],[],[],[],[],[],[],85.4148,87.4147,87.4147,87.415,[],[],[],[],[],[],[],,87.415,87.415,0.30535411,-0.263862942,0,0,0,,0,6,6,4,1,4,RL,betemit,cursive,betemit_c.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,87.4162,87.6146,87.6146,88.1147,,,,,,,,,,,,0.6055,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,8,0,88.1154,88.7313,m,1,0.6055,,[],[],[],[],[],[],[],88.7314,90.7314,90.7314,90.7317,[],[],[],[],[],[],[],,90.7318,90.7319,0.30535411,-0.263862942,0,0,0,,0,7,7,123,1,4,word,MODERATE,print,moderate_p.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,90.7332,90.9313,90.9313,91.4304,,,,,,,,,,,,0.8076,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,,9,0,91.431,92.2478,z,1,0.8076,,[],[],[],[],[],[],[],92.2478,94.2479,94.2479,94.2482,[],[],[],[],[],[],[],,94.2483,94.2484,0.30535411,-0.263862942,0,0,0,,0,8,8,26,1,4,RL,mesibine,cursive,mesibine_c.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,94.2498,94.4479,94.4479,94.9479,,,,,,,,,,,,0.715,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,10,0,94.9486,95.6644,m,1,0.715,,[],[],[],[],[],[],[],95.6645,97.6646,97.6646,97.6648,[],[],[],[],[],[],[],,97.6648,97.665,0.30535411,-0.263862942,0,0,0,,0,9,9,153,1,4,word,STOLEN,cursive,stolen_c.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,97.6661,97.8646,97.8647,98.3646,,,,,,,,,,,,0.7632,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,11,0,98.3652,99.131,m,1,0.7632,,[],[],[],[],[],[],[],99.131,101.1313,101.1313,101.1317,[],[],[],[],[],[],[],,101.1317,101.1319,0.30535411,-0.263862942,0,0,0,,0,10,10,110,1,4,word,HERITAGE,print,heritage_p.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,101.1333,101.3312,101.3312,101.8313,,,,,,,,,,,,0.5696,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,12,1,101.8319,102.4147,m,1,0.5696,,[],[],[],[],[],[],[],102.4147,104.4145,104.4146,107.1646,[],[],[],[],[],[],[],m,107.1647,107.1648,0.30535411,-0.263862942,0,0,0,,0,11,11,132,1,4,word,PROPOSAL,print,proposal_p.png,2.7361,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,107.1661,107.3646,107.3647,107.8645,,,,,,,,,,,,1.3649,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,13,0,107.865,109.2309,z,0,1.3649,,[],[],[],[],[],[],[],109.2311,111.2313,111.2314,111.2316,[],[],[],[],[],[],[],,111.2317,111.2319,0.30535411,-0.263862942,0,0,0,,0,12,12,106,1,4,word,ELABORATE,cursive,elaborate_c.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,111.2334,111.4313,111.4313,111.9313,,,,,,,,,,,,0.6715,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,14,0,111.9318,112.6144,m,1,0.6715,,[],[],[],[],[],[],[],112.6145,114.6144,114.6145,114.6147,[],[],[],[],[],[],[],,114.6147,114.6149,0.30535411,-0.263862942,0,0,0,,0,13,13,103,1,4,word,DISPUTE,print,dispute_p.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,114.6162,114.8145,114.8145,115.3144,,,,,,,,,,,,0.8198,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,15,0,115.3149,116.1478,z,0,0.8198,,[],[],[],[],[],[],[],116.1479,118.1476,118.1478,118.1479,[],[],[],[],[],[],[],,118.1479,118.148,0.30535411,-0.263862942,0,0,0,,0,14,14,139,1,4,word,REGULAR,cursive,regular_c.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,118.1489,118.3474,118.3475,118.8478,,,,,,,,,,,,1.0039,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,16,0,118.8483,119.8645,m,1,1.0039,,[],[],[],[],[],[],[],119.8646,121.8644,121.8645,121.8647,[],[],[],[],[],[],[],,121.8648,121.865,0.30535411,-0.263862942,0,0,0,,0,15,15,137,1,4,word,RAPIDLY,cursive,rapidly_c.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,121.8663,122.0644,122.0645,122.5644,,,,,,,,,,,,1.8368,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,,17,0,122.5651,124.4144,m,0,1.8368,,[],[],[],[],[],[],[],124.4145,126.4139,126.414,126.4143,[],[],[],[],[],[],[],,126.4144,126.4145,0.30535411,-0.263862942,0,0,0,,0,16,16,65,1,4,TL,orepator,print,orepator_p.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,126.4158,126.6137,126.6139,127.1144,,,,,,,,,,,,1.5656,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,18,0,127.1149,128.6815,m,1,1.5656,,[],[],[],[],[],[],[],128.6815,130.681,130.6811,130.6812,[],[],[],[],[],[],[],,130.6813,130.6815,0.30535411,-0.263862942,0,0,0,,0,17,17,158,1,4,word,VELOCITY,cursive,velocity_c.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,130.6828,130.8811,130.8811,131.381,,,,,,,,,,,,1.5532,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,19,0,131.3815,132.9477,m,1,1.5532,,[],[],[],[],[],[],[],132.9478,134.9477,134.9478,134.9481,[],[],[],[],[],[],[],,134.9481,134.9483,0.30535411,-0.263862942,0,0,0,,0,18,18,105,1,4,word,EDITOR,print,editor_p.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,134.9497,135.1477,135.1478,135.6476,,,,,,,,,,,,1.1309,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,20,0,135.6482,136.7809,m,1,1.1309,,[],[],[],[],[],[],[],136.781,138.781,138.7811,138.7813,[],[],[],[],[],[],[],,138.7813,138.7815,0.30535411,-0.263862942,0,0,0,,0,19,19,102,1,4,word,DENSITY,cursive,density_c.png,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,138.7828,138.981,138.981,139.4808,,,,,,,,,,,,0.6543,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,21,0,139.4812,140.1476,m,1,0.6543,,[],[],[],[],[],[],[],140.1478,142.1476,142.1476,142.1478,[],[],[],[],[],[],[],,142.1479,142.148,0.30535411,-0.263862942,0,0,0,,0,20,20,89,1,4,word,CAPACITY,cursive,capacity_c.png,,,,,,
