counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,key_resp_probe.rt,key_resp_probe.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,break_done_touch.clicked_name,End.started,End.stopped
list1,,0.4175,0.4177,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,0.4384,24.0037,,-0.014211107,-0.425810971,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). The items will be presented for a short time. 
Press the space bar or touch  continue.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,24.0062,30.9046,space,-0.110805876,-0.246059783,0,0,0,,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,6.8714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,30.911,32.7033,space,-0.110805876,-0.246059783,0,0,0,,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,1.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,32.7053,39.5199,space,-0.110805876,-0.246059783,0,0,0,,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,6.7987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,39.5355,39.7192,39.7196,40.2201,40.2205,41.8369,m,1,1.5863,,[],[],[],[],[],[],[],1.5863,1,41.8374,42.337,0,0,0,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,42.3392,42.5365,42.5366,43.0366,43.0379,44.4523,z,1,1.3951,,[],[],[],[],[],[],[],1.3951,1,44.4525,44.9529,0,1,1,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,44.9537,45.1532,45.1534,45.6528,45.6533,46.9528,m,1,1.2804,,[],[],[],[],[],[],[],1.2804,1,46.9529,47.4522,0,2,2,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,47.4537,47.653,47.6531,48.1522,48.1534,49.2032,z,1,1.0335,,[],[],[],[],[],[],[],1.0335,1,49.2034,49.7034,0,3,3,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,49.7053,49.9032,49.9035,50.4031,50.4045,51.3854,m,1,0.9601,,[],[],[],[],[],[],[],0.9601,1,51.3856,51.8866,0,4,4,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
