counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,response.duration,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list4_trials.thisRepN,list4_trials.thisTrialN,list4_trials.thisN,list4_trials.thisIndex,list4_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,12.8841,13.0825,13.0825,13.5824,13.5836,14.1492,m,1,[],[],[],[],[],[],[],0.5559,1,14.1494,14.6493,0,5,5,4,1,1005,WORD,UN,33,abound,SQUEAK,m,0.5559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,14.6507,14.8492,14.8492,15.349,15.3501,17.7648,m,1,[],[],[],[],[],[],[],2.4007,1,17.7649,18.2657,0,6,6,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,2.4007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,18.2674,18.4656,18.4656,18.9656,18.9666,20.9323,z,1,[],[],[],[],[],[],[],1.9511,1,20.9325,21.4323,0,7,7,8,1,1009,NW,"ID",33,aslert,ASLERT,z,1.9511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,21.4341,21.6323,21.6324,22.1321,22.1333,23.0322,z,1,[],[],[],[],[],[],[],0.8797,1,23.0324,23.5319,0,8,8,13,1,1014,NW,UN,33,winfer,ROUPET,z,0.8797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,23.5325,23.7318,23.7318,24.2312,24.2316,24.8321,z,1,[],[],[],[],[],[],[],0.5904,1,24.8323,25.3321,0,9,9,11,1,1012,NW,"ID",16,rashet,RASHET,z,0.5904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,25.3334,25.5323,25.5324,26.032,26.033,26.632,z,1,[],[],[],[],[],[],[],0.5806,1,26.6323,27.132,0,10,10,10,1,1011,NW,"ID",16,inlade,INLADE,z,0.5806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,27.134,27.332,27.332,27.832,27.8329,28.3987,m,1,[],[],[],[],[],[],[],0.5469,1,28.3989,28.8985,0,11,11,2,1,1003,WORD,"ID",16,almond,ALMOND,m,0.5469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,28.9001,29.0987,29.0987,29.5986,29.5995,30.1321,m,1,[],[],[],[],[],[],[],0.5144,1,30.1322,30.6319,0,12,12,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,0.5144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,30.6335,30.8318,30.8319,31.3318,31.3329,31.9481,m,1,[],[],[],[],[],[],[],0.6058,1,31.9483,32.4481,0,13,13,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,0.6058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,32.4487,32.6485,32.6486,33.1484,33.1493,33.7481,m,0,[],[],[],[],[],[],[],0.5793,0,33.7485,34.2483,0,14,14,12,1,1013,NW,UN,33,adveil,SPRINY,z,0.5793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,34.2493,34.4483,34.4483,34.9484,34.9494,36.5982,m,0,[],[],[],[],[],[],[],1.6303,0,36.5984,37.0983,0,15,15,14,1,1015,NW,UN,16,miaber,THRALE,z,1.6303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. On some trials you will be asked to report whether the item you just saw was in cursive or print. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1054,38.4821,,-0.003774483,-0.405242621,1,0,0,instr_done_button_3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,38.499,38.6815,38.6815,39.1814,,,,,,,,,,,,1.3545,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,1,0,39.1824,40.5484,m,0,1.3545,,[],[],[],[],[],[],[],40.5488,42.5476,42.5477,42.5505,[],[],[],[],[],[],[],,42.5506,42.5518,-0.005104903,-0.268494117,0,0,0,,0,0,0,10,1,4,RL,carminal,cursive,carminal_c.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,42.5525,42.748,42.7481,43.2479,,,,,,,,,,,,0.7058,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,2,0,43.2486,43.9647,m,1,0.7058,,[],[],[],[],[],[],[],43.9649,45.9638,45.9639,45.9641,[],[],[],[],[],[],[],,45.9642,45.9643,-0.005104903,-0.268494117,0,0,0,,0,1,1,84,1,4,word,BELOVED,print,beloved_p.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,45.9651,46.1645,46.1645,46.6644,,,,,,,,,,,,0.5231,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,3,0,46.6651,47.1979,m,0,0.5231,,[],[],[],[],[],[],[],47.198,49.1977,49.1977,49.198,[],[],[],[],[],[],[],,49.1981,49.1982,-0.005104903,-0.268494117,0,0,0,,0,2,2,63,1,4,TL,miskate,print,miskate_p.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,49.1995,49.3969,49.397,49.8978,,,,,,,,,,,,0.7583,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,4,0,49.8985,50.6645,z,1,0.7583,,[],[],[],[],[],[],[],50.6645,52.6642,52.6643,52.6646,[],[],[],[],[],[],[],,52.6647,52.6648,-0.005104903,-0.268494117,0,0,0,,0,3,3,18,1,4,RL,disluge,print,disluge_p.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,52.6661,52.8642,52.8642,53.3643,,,,,,,,,,,,0.7397,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,5,0,53.365,54.1143,m,1,0.7397,,[],[],[],[],[],[],[],54.1145,56.1141,56.1142,56.1146,[],[],[],[],[],[],[],,56.1146,56.1147,-0.005104903,-0.268494117,0,0,0,,0,4,4,112,1,4,word,LIBERAL,cursive,liberal_c.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,56.116,56.3141,56.3141,56.8141,,,,,,,,,,,,0.6729,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,6,0,56.8147,57.4976,m,1,0.6729,,[],[],[],[],[],[],[],57.4977,59.4973,59.4975,59.4979,[],[],[],[],[],[],[],,59.4979,59.4982,-0.005104903,-0.268494117,0,0,0,,0,5,5,133,1,4,word,PROVIDE,cursive,provide_c.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,59.4997,59.6973,59.6973,60.197,,,,,,,,,,,,1.0123,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,7,1,60.1976,61.214,z,0,1.0123,,[],[],[],[],[],[],[],61.2142,63.2136,63.2138,66.8138,[],[],[],[],[],[],[],z,66.8139,66.8141,-0.005104903,-0.268494117,0,0,0,,0,6,6,101,1,4,word,DELICATE,cursive,delicate_c.png,3.59,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,66.8154,67.0137,67.0138,67.5132,,,,,,,,,,,,0.8578,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,8,1,67.5139,68.3799,z,1,0.8578,,[],[],[],[],[],[],[],68.38,70.3796,70.3798,71.0632,[],[],[],[],[],[],[],m,71.0633,71.0634,-0.005104903,-0.268494117,0,0,0,,0,7,7,38,1,4,RL,refakive,print,refakive_p.png,0.6775,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,71.0647,71.2634,71.2636,71.7631,,,,,,,,,,,,0.7426,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,9,0,71.7637,72.5129,m,1,0.7426,,[],[],[],[],[],[],[],72.5129,74.5134,74.5135,74.5138,[],[],[],[],[],[],[],,74.514,74.5141,-0.005104903,-0.268494117,0,0,0,,0,8,8,96,1,4,word,CONSIDER,cursive,consider_c.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,74.5154,74.7131,74.7132,75.2126,,,,,,,,,,,,1.0069,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,10,0,75.2134,76.2302,z,1,1.0069,,[],[],[],[],[],[],[],76.2304,78.2298,78.23,78.2301,[],[],[],[],[],[],[],,78.2302,78.2305,-0.005104903,-0.268494117,0,0,0,,0,9,9,57,1,4,TL,etidor,print,etidor_p.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,78.2318,78.4298,78.4299,78.9298,,,,,,,,,,,,1.2917,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,11,1,78.9305,80.2299,m,1,1.2917,,[],[],[],[],[],[],[],80.2299,82.2298,82.2299,83.1631,[],[],[],[],[],[],[],z,83.1633,83.1634,-0.005104903,-0.268494117,0,0,0,,0,10,10,102,1,4,word,DENSITY,cursive,density_c.png,0.9241,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,83.1647,83.363,83.3631,83.863,,,,,,,,,,,,1.2585,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,12,1,83.8638,85.1293,z,1,1.2585,,[],[],[],[],[],[],[],85.1295,87.1296,87.1298,93.2626,[],[],[],[],[],[],[],z,93.2627,93.2628,-0.005104903,-0.268494117,0,0,0,,0,11,11,46,1,4,RL,skofen,cursive,skofen_c.png,6.1252,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,93.2639,93.4626,93.4626,93.9625,,,,,,,,,,,,0.8587,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,13,0,93.9633,94.8293,m,1,0.8587,,[],[],[],[],[],[],[],94.8294,96.8291,96.8291,96.8294,[],[],[],[],[],[],[],,96.8294,96.8294,-0.005104903,-0.268494117,0,0,0,,0,12,12,80,1,4,word,ACADEMY,print,academy_p.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,96.8306,97.0292,97.0292,97.5291,,,,,,,,,,,,0.8154,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,14,0,97.5297,98.3459,z,1,0.8154,,[],[],[],[],[],[],[],98.346,100.345,100.345,100.3452,[],[],[],[],[],[],[],,100.3453,100.3453,-0.005104903,-0.268494117,0,0,0,,0,13,13,9,1,4,RL,cafigal,print,cafigal_p.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,100.3467,100.5456,100.5457,101.0456,,,,,,,,,,,,1.7149,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,15,0,101.0463,102.7623,z,0,1.7149,,[],[],[],[],[],[],[],102.7624,104.7622,104.7622,104.7625,[],[],[],[],[],[],[],,104.7625,104.7626,-0.005104903,-0.268494117,0,0,0,,0,14,14,106,1,4,word,ELABORATE,cursive,elaborate_c.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,104.7642,104.9621,104.9621,105.4621,,,,,,,,,,,,1.7435,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,16,0,105.4625,107.2121,z,1,1.7435,,[],[],[],[],[],[],[],107.2122,109.212,109.212,109.2124,[],[],[],[],[],[],[],,109.2124,109.2125,-0.005104903,-0.268494117,0,0,0,,0,15,15,16,1,4,RL,desifate,cursive,desifate_c.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,109.214,109.412,109.4121,109.912,,,,,,,,,,,,0.7086,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,17,0,109.9127,110.6286,m,1,0.7086,,[],[],[],[],[],[],[],110.6286,112.6281,112.6282,112.6284,[],[],[],[],[],[],[],,112.6285,112.6285,-0.005104903,-0.268494117,0,0,0,,0,16,16,93,1,4,word,CEREMONY,print,ceremony_p.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,112.6299,112.8278,112.8279,113.3279,,,,,,,,,,,,0.7827,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,18,0,113.3283,114.1118,z,0,0.7827,,[],[],[],[],[],[],[],114.1119,116.1117,116.1118,116.1121,[],[],[],[],[],[],[],,116.1121,116.1122,-0.005104903,-0.268494117,0,0,0,,0,17,17,92,1,4,word,CATEGORY,cursive,category_c.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,116.1137,116.3113,116.3114,116.8119,,,,,,,,,,,,1.0603,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,19,0,116.8125,117.8784,m,1,1.0603,,[],[],[],[],[],[],[],117.8785,119.8782,119.8783,119.8785,[],[],[],[],[],[],[],,119.8786,119.8787,-0.005104903,-0.268494117,0,0,0,,0,18,18,81,1,4,word,ADVISORY,cursive,advisory_c.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,119.8802,120.0782,120.0783,120.5773,,,,,,,,,,,,0.7274,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,20,0,120.578,121.3117,m,1,0.7274,,[],[],[],[],[],[],[],121.3118,123.3115,123.3115,123.3118,[],[],[],[],[],[],[],,123.3118,123.312,-0.005104903,-0.268494117,0,0,0,,0,19,19,127,1,4,word,ORIGINAL,print,original_p.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,123.3135,123.5108,123.5108,124.0114,,,,,,,,,,,,0.9698,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,21,0,124.0121,124.9947,m,1,0.9698,,[],[],[],[],[],[],[],124.9949,126.9948,126.9949,126.9952,[],[],[],[],[],[],[],,126.9953,126.9954,-0.005104903,-0.268494117,0,0,0,,0,20,20,143,1,4,word,REMOVAL,print,removal_p.png,,,,,
,,,,32172,001,2025-12-04_13h46.31.208,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,126.9968,127.1945,127.1946,127.6947,,,,,,,,,,,,2.5875,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,22,1,127.6952,130.2946,z,1,2.5875,,[],[],[],[],[],[],[],130.2947,132.2944,132.2945,133.6278,[],[],[],[],[],[],[],z,133.6279,133.628,-0.005104903,-0.268494117,0,0,0,,0,21,21,34,1,4,RL,posity,cursive,posity_c.png,1.3258,,,,
