counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list4_trials.thisRepN,list4_trials.thisTrialN,list4_trials.thisN,list4_trials.thisIndex,list4_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,End.started,End.stopped
list4,,0.4682,0.4684,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,0.485,4.7571,,-0.111141493,-0.384869792,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). The items will be presented for a short time. 
Press the space bar or touch  continue.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,4.7592,10.2916,space,-0.110993924,-0.385164931,0,0,0,,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,5.5177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,10.2931,13.8236,space,-0.110993924,-0.385164931,0,0,0,,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,3.5075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,13.8263,23.2739,space,0.10497008,0.385593972,0,0,0,,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,9.4218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,23.3004,23.4737,23.4741,23.9736,23.9739,26.874,m,1,2.878,,[],[],[],[],[],[],[],2.878,1,26.8743,27.374,0,0,0,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,27.3759,27.5734,27.5735,28.0736,28.0748,30.0235,z,1,1.9326,,[],[],[],[],[],[],[],1.9326,1,30.0237,30.5232,0,1,1,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,30.5247,30.7235,30.7235,31.2234,31.2245,32.4736,m,1,1.2285,,[],[],[],[],[],[],[],1.2285,1,32.4737,32.9736,0,2,2,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,32.9754,33.1734,33.1736,33.6734,33.6742,34.3236,m,1,0.629,,[],[],[],[],[],[],[],0.629,1,34.3238,34.8235,0,3,3,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,34.8249,35.0234,35.0235,35.5234,35.5247,36.0736,m,1,0.5276,,[],[],[],[],[],[],[],0.5276,1,36.0738,36.5736,0,4,4,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,36.5749,36.7735,36.7736,37.2735,37.2746,38.0567,z,1,0.7681,,[],[],[],[],[],[],[],0.7681,1,38.0568,38.557,0,5,5,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,38.5586,38.7569,38.7569,39.2569,39.2581,39.8737,m,1,0.5948,,[],[],[],[],[],[],[],0.5948,1,39.8739,40.3728,0,6,6,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29493,001,2025-10-16_13h44.20.014,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,40.3746,40.5737,40.5738,41.0736,41.0748,41.7902,z,1,0.7077,,[],[],[],[],[],[],[],0.7077,1,41.7904,42.2902,0,7,7,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
