counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,response.duration,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list2_trials.thisRepN,list2_trials.thisTrialN,list2_trials.thisN,list2_trials.thisIndex,list2_trials.ran,list_id,item_type,string,font,stim_file,break_done_touch.clicked_name,key_resp_probe.rt,key_resp_probe.duration,End.started,End.stopped
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,114.7328,114.9264,114.9264,115.4268,,,,,,,,,,,,2.1229,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,10,0,115.4275,117.56,z,1,2.1229,,[],[],[],[],[],[],[],117.5601,119.56,119.56,119.5603,[],[],[],[],[],[],[],,119.5603,119.5604,-0.105555556,-0.249074131,0,0,0,,0,9,9,45,1,2,TL,carnidal,cursive,carnidal_c.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,119.5619,119.7597,119.7598,120.2599,,,,,,,,,,,,0.873,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,11,0,120.2606,121.1434,z,1,0.873,,[],[],[],[],[],[],[],121.1435,123.143,123.1431,123.1433,[],[],[],[],[],[],[],,123.1434,123.1437,-0.105555556,-0.249074131,0,0,0,,0,10,10,78,1,2,TL,stogare,print,stogare_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,123.1448,123.343,123.3431,123.8476,,,,,,,,,,,,1.1487,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,12,0,123.8482,124.9977,m,1,1.1487,,[],[],[],[],[],[],[],124.9978,126.9974,126.9975,126.9978,[],[],[],[],[],[],[],,126.9978,126.998,-0.105555556,-0.249074131,0,0,0,,0,11,11,129,1,2,word,PARENT,print,parent_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,126.9995,127.1965,127.1966,127.6931,,,,,,,,,,,,2.054,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,13,0,127.6938,129.7488,z,0,2.054,,[],[],[],[],[],[],[],129.749,131.7434,131.7434,131.7437,[],[],[],[],[],[],[],,131.7437,131.7439,-0.105555556,-0.249074131,0,0,0,,0,12,12,90,1,2,word,CAPITAL,cursive,capital_c.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,131.7452,131.9484,131.9485,132.4436,,,,,,,,,,,,0.7531,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,14,0,132.4442,133.1985,m,1,0.7531,,[],[],[],[],[],[],[],133.1985,135.1981,135.1982,135.1985,[],[],[],[],[],[],[],,135.1986,135.1988,-0.105555556,-0.249074131,0,0,0,,0,13,13,130,1,2,word,POLICY,print,policy_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,135.2002,135.3934,135.3935,135.893,,,,,,,,,,,,0.8086,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,15,0,135.8938,136.71,z,1,0.8086,,[],[],[],[],[],[],[],136.7101,138.7141,138.7142,138.7145,[],[],[],[],[],[],[],,138.7146,138.7148,-0.105555556,-0.249074131,0,0,0,,0,14,14,18,1,2,RL,mesibine,print,mesibine_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,138.7161,138.9099,138.91,139.4143,,,,,,,,,,,,0.8161,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,16,0,139.4148,140.2321,z,1,0.8161,,[],[],[],[],[],[],[],140.2322,142.2266,142.2266,142.2269,[],[],[],[],[],[],[],,142.227,142.2271,-0.105555556,-0.249074131,0,0,0,,0,15,15,9,1,2,RL,denficy,print,denficy_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,142.2284,142.4266,142.4267,142.9266,,,,,,,,,,,,1.1603,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,17,0,142.9273,144.0935,z,0,1.1603,,[],[],[],[],[],[],[],144.0935,146.098,146.0981,146.0984,[],[],[],[],[],[],[],,146.0986,146.0986,-0.105555556,-0.249074131,0,0,0,,0,16,16,106,1,2,word,ELABORATE,cursive,elaborate_c.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,146.1,146.2931,146.2932,146.7979,,,,,,,,,,,,0.649,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,18,0,146.7987,147.4489,m,0,0.649,,[],[],[],[],[],[],[],147.4489,149.4477,149.4477,149.448,[],[],[],[],[],[],[],,149.4481,149.4483,-0.105555556,-0.249074131,0,0,0,,0,17,17,70,1,2,TL,retalive,print,retalive_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,149.4498,149.6436,149.6437,150.1433,,,,,,,,,,,,2.3036,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,19,0,150.1439,152.4486,z,1,2.3036,,[],[],[],[],[],[],[],152.4488,154.4439,154.444,154.4443,[],[],[],[],[],[],[],,154.4444,154.4446,-0.105555556,-0.249074131,0,0,0,,0,18,18,40,1,2,TL,bevoled,cursive,bevoled_c.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,154.4457,154.6433,154.6433,155.1476,,,,,,,,,,,,0.6996,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,20,0,155.1483,155.849,z,1,0.6996,,[],[],[],[],[],[],[],155.8491,157.8438,157.8438,157.8441,[],[],[],[],[],[],[],,157.8441,157.8441,-0.105555556,-0.249074131,0,0,0,,0,19,19,25,1,2,RL,rabigly,print,rabigly_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,157.8454,158.0433,158.0433,158.5432,,,,,,,,,,,,1.0541,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,21,1,158.5438,159.5991,m,1,1.0541,,[],[],[],[],[],[],[],159.5992,161.5983,161.5983,164.9493,[0.425],[-0.29629635281032984],[1],[0],[0],[3.3507000000029734],"[""button_right_probe""]",,164.9494,164.9496,0.425,-0.296296353,1,0,0,,0,20,20,112,1,2,word,LIBERAL,print,liberal_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,164.951,165.1437,165.1437,165.6438,,,,,,,,,,,,1.5199,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,22,0,165.6445,167.1651,z,1,1.5199,,[],[],[],[],[],[],[],167.1653,169.1649,169.165,169.1651,[],[],[],[],[],[],[],,169.1653,169.1655,0.13148151,-0.139814843,0,0,0,,0,21,21,30,1,2,RL,selamor,print,selamor_p.png,,,,,
